,,,,,
DAFTAR CALON TETAP,,,,,
ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA PEMILIHAN UMUM TAHUN 2014,,,,,
PROVINSI : D.I. YOGYAKARTA,,,,,
DAERAH PEMILIHAN : D.I. YOGYAKARTA 1,,,,,
MODEL BD 1,,,,,
"1
PARTAI NASDEM
"8
PARTAI AMANAT NASIONAL
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,Dra. Hj. MARTHIA ADELHEIDA,P,SLEMAN
2,,,Ir. ROHMAN AGUS SUKAMTA,L,SLEMAN
3,,,"FIFIT ISNAFIYAH, M.Si.",P,SLEMAN
4,,,Ir. ACHMAD YULIANTO,L,KOTA YOGYAKARTA
5,,,"YOGI JATMIKANTO, S.IP.",L,KOTA YOGYAKARTA
6,,,"DYAH NOVIATI, S.E.",P,SLEMAN
7,,,"RATNA SARI DEWI, S.Pd.",P,KLATEN
8,,,NIKO AGUNG KUNCORO,L,SLEMAN
JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 4 PROSENTASE PEREMPUAN: 50%,,,,,
"9
PARTAI PERSATUAN PEMBANGUNAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"H.M. FARCHAN HARIEM, S.E.",L,SLEMAN
2,,,"Dr. Ir. H. SUWARDIE, M.Sc.",L,SLEMAN
3,,,"DINAR SEPTIANINGSIH, S.Pd.I.",P,SLEMAN
4,,,H. SUPRIYADI,L,SLEMAN
5,,,M. RIZAL MUHRIZI M. IBAD,L,SLEMAN
6,,,ANDAR INSIA FAQIH,P,SLEMAN
7,,,SITI MUNAWAROH,P,SLEMAN
8,,,Drs. SAGIMAN S.,L,SLEMAN
"JUMLAH LAKI-LAKI: 5 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 37,5%",,,,,
"10
PARTAI HATI NURANI RAKYAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,P.A. BAMBANG PRIYONO,L,SLEMAN
2,,,Drs. R. HARNANTO,L,SLEMAN
3,,,"ETTY HERAWATI, S.E.",P,KOTA YOGYAKARTA
4,,,"NINO JAGO SASONGKO H., S.T.",L,KOTA YOGYAKARTA
5,,,"ROSMA AULIA UMAMI, S.H.",P,BANTUL
6,,,"CYNTHIA PINASTHIKA A, S.E.",P,KOTA YOGYAKARTA
7,,,BAGUS SURYANTO,L,KOTA YOGYAKARTA
8,,,"H. HARTOYO, S.H.",L,SLEMAN
"JUMLAH LAKI-LAKI: 5 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 37,5%",,,,,
"14
PARTAI BULAN BINTANG
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,AMATULLAH ZAHIROH,P,KOTA YOGYAKARTA
2,,,MOHAMMAD HAMRON,L,KOTA YOGYAKARTA
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
JUMLAH LAKI-LAKI: 1 JUMLAH PEREMPUAN: 1 PROSENTASE PEREMPUAN: 50%,,,,,
"15
PARTAI KEADILAN DAN PERSATUAN INDONESIA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,JULINA,P,SLEMAN
2,,,FX. MARIYANTO,L,KOTA YOGYAKARTA
3,,,CUT MEUTIA SARI,P,SLEMAN
4,,,AGUS HARIYANTO,L,KARANGANYAR
,,,,,
,,,,,
,,,,,
,,,,,
JUMLAH LAKI-LAKI: 2 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 50%,,,,,
,,,,,
DAFTAR CALON TETAP,,,,,
ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA PEMILIHAN UMUM TAHUN 2014,,,,,
PROVINSI : D.I. YOGYAKARTA,,,,,
DAERAH PEMILIHAN : D.I. YOGYAKARTA 7,,,,,
MODEL BD 1,,,,,
"1
PARTAI NASDEM
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"SUPARJA, S.IP.",L,GUNUNG KIDUL
2,,,"SUNARDI, S.Pd.",L,GUNUNG KIDUL
3,,,ENDANG SUKMARANINGSIH,P,BANTUL
4,,,"R.H. HERU WAHYU KISMOYO, S.Sos., M.Si.",L,KOTA YOGYAKARTA
5,,,"BENI SUNTOKO, S.E.",L,GUNUNG KIDUL
6,,,MARIYA GORETI HARTINI,P,GUNUNG KIDUL
7,,,MUHAMMAD FAKHRUR ROZY,L,GUNUNG KIDUL
8,,,"BAYU SUSANTO, S.E.",L,BANTUL
9,,,YULIA WAHYUNINGRUM,P,GUNUNG KIDUL
10,,,EXVAN DWI EFFENDI,L,GUNUNG KIDUL
11,,,IKA WAHYUNI,P,JAKARTA TIMUR
"JUMLAH LAKI-LAKI: 7 JUMLAH PEREMPUAN: 4 PROSENTASE PEREMPUAN: 36,4%",,,,,
"2
PARTAI KEBANGKITAN BANGSA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"ENDANG SETYANI, S.H.",P,GUNUNGKIDUL
2,,,Drs. ROJAK HARUDIN,L,GUNUNGKIDUL
3,,,Drs. H. SUHARYANTO SW,L,KOTA YOGYAKARTA
4,,,Drs. H. AHMAD,L,GUNUNGKIDUL
5,,,SITI KHOTIJAH,P,GUNUNGKIDUL
6,,,"SARONO, S.Pd.",L,GUNUNGKIDUL
7,,,"LIA NURLAILA RAHMA FAUZI, A.Md.Keb.",P,GUNUNGKIDUL
8,,,FAIRUSZY ZABID,L,GUNUNGKIDUL
9,,,"H. M. HASBI ANWAR, S.Pd., M.Pd.I.",L,GUNUNGKIDUL
10,,,SITI RAHMI,P,GUNUNGKIDUL
,,,,,
"JUMLAH LAKI-LAKI: 6 JUMLAH PEREMPUAN: 4 PROSENTASE PEREMPUAN: 40,0%",,,,,
"3
PARTAI KEADILAN SEJAHTERA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"H. BOEDI DEWANTORO, S.H., M.Si.",L,KOTA YOGYAKARTA
2,,,Ir. ARIEF BUDIONO,L,SLEMAN
3,,,"MUSLIKHAH, S.Pd.",P,GUNUNGKIDUL
4,,,BARID HAMRONI,L,GUNUNGKIDUL
5,,,"EKANTINI PUJI BASUKI, S.P.",P,KOTA YOGYAKARTA
6,,,WIDODO,L,GUNUNGKIDUL
7,,,"SILVIA DEWI STYANINGRUM,
M.Kes.",P,KOTA YOGYAKARTA
8,,,"MAIMUN NURYADI, S.E.",L,GUNUNGKIDUL
9,,,NURDIN FAUZI ZAMAN,L,SLEMAN
10,,,ETIK TRISNAWATI,P,KOTA YOGYAKARTA
11,,,"TRIYANTO PUSPITO NUGROHO, S.Pd.",L,SLEMAN
"JUMLAH LAKI-LAKI: 7 JUMLAH PEREMPUAN: 4 PROSENTASE PEREMPUAN: 36,4%",,,,,
"4
PARTAI DEMOKRASI INDONESIA PERJUANGAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"NURYADI, S.Pd.",L,KOTA YOGYAKARTA
2,,,"H. BAMBANG CHRISNADI, S.H., M.Si.",L,BEKASI
3,,,"DWIRUSJIYATI AGNES , S.Pd.",P,GUNUNGKIDUL
4,,,dr. HARIYADI JAKA DARMANTA,L,SLEMAN
5,,,"BAMBANG SETYO MARTONO, S.E., MBA.",L,KOTA YOGYAKARTA
6,,,TUTIK WAHYUNINGSIH,P,SLEMAN
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"5
PARTAI GOLONGAN KARYA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"SLAMET, S.Pd., M.M.",L,GUNUNG KIDUL
2,,,"Hj. RANY WIDAYATI, S.E., M.M.",P,KOTA YOGYAKARTA
3,,,"Drs. AGUS MULYONO, M.M.",L,KOTA YOGYAKARTA
4,,,"INDRADI, S.E.",L,SLEMAN
5,,,"SUHARTO, S.H.",L,GUNUNG KIDUL
6,,,"Hj. ELSY ZULENY, B.A.",P,GUNUNG KIDUL
7,,,Drs. H. SUPARDAL,L,GUNUNG KIDUL
8,,,"PULUNG PRABOWO, S.Kom.",L,GUNUNG KIDUL
9,,,"LISTIYANI, S.IP.",P,KOTA YOGYAKARTA
10,,,"ARINDA DIAN EKAWATI, S.P.",P,KOTA YOGYAKARTA
11,,,"YBM. S. AGUNG NUGROHO, S.E.",L,GUNUNG KIDUL
"JUMLAH LAKI-LAKI: 7 JUMLAH PEREMPUAN: 4 PROSENTASE PEREMPUAN: 36,4%",,,,,
"6
PARTAI GERAKAN INDONESIA RAYA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"SEPTO HARTONO, S.E.",L,SLEMAN
2,,,"H. SETYO WIBOWO, S.E.",L,GUNUNGKIDUL
3,,,BRAY. IRIANI PRAMASTUTI,P,KOTA YOGYAKARTA
4,,,KRISNADI SETYAWAN,L,KOTA YOGYAKARTA
5,,,"SOLIKATUN ASLAMIAH, S.E.",P,GUNUNGKIDUL
6,,,CAHYADI SUNARNO,L,GUNUNGKIDUL
7,,,"R.R. ENNY ASMAWATI, S.H.",P,KOTA YOGYAKARTA
8,,,PUJI RAHARJO,L,SLEMAN
9,,,"RINI WIDIASTUTI, S.Sn.,
M.Hum.",P,GUNUNGKIDUL
10,,,SUBIRMAN,L,GUNUNGKIDUL
11,,,ANDARU BRAMONO,L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 7 JUMLAH PEREMPUAN: 4 PROSENTASE PEREMPUAN: 36,4%",,,,,
"7
PARTAI DEMOKRAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"MIRWAN SYAMSUDIN SYUKUR, S.H., M.M.",L,BANTUL
2,,,"Hj. ERLIA RISTI, S.E.",P,KOTA YOGYAKARTA
3,,,RIO ERWIN SETIAWAN,L,KOTA YOGYAKARTA
4,,,SUPRIYANTO,L,BANTUL
5,,,BETHANIA,P,KOTA YOGYAKARTA
6,,,AGUSTIN WAHYU WIDAYATI,P,SLEMAN
7,,,FITRI ASTUTI,P,KULON PROGO
8,,,ANTONIA SAWITRI,P,SLEMAN
9,,,WING SURAHYEM,P,GUNUNG KIDUL
,,,,,
,,,,,
"JUMLAH LAKI-LAKI: 3 JUMLAH PEREMPUAN: 6 PROSENTASE PEREMPUAN: 66,7%",,,,,
"8
PARTAI AMANAT NASIONAL
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"Hj. TUTIEK MASRIA WIDYO, S.E.",P,KOTA YOGYAKARTA
2,,,Drs. SUTATA,L,GUNUNGKIDUL
3,,,"ARIF SETIADI, S.IP.",L,GUNUNGKIDUL
4,,,"ROHADI, S.Pd.",L,BANTUL
5,,,M. YOGANDHA TYASMOKO,L,GUNUNGKIDUL
6,,,SUKASMIRAH,P,GUNUNGKIDUL
7,,,"PUGUD AGIL ARDINA, S.Psi.",L,GUNUNGKIDUL
8,,,WARNI,P,GUNUNGKIDUL
9,,,"TRI IRAWATI, S.E., M.Si.",P,SUKOHARJO
10,,,SITI WIJAYANTI,P,GUNUNGKIDUL
11,,,"SHANTI WIBOWO, S.E.",L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 6 JUMLAH PEREMPUAN: 5 PROSENTASE PEREMPUAN: 45,5%",,,,,
DAFTAR CALON TETAP,,,,,
ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA PEMILIHAN UMUM TAHUN 2014,,,,,
PROVINSI : D.I. YOGYAKARTA,,,,,
DAERAH PEMILIHAN : D.I. YOGYAKARTA 7,,,,,
MODEL BD 1,,,,,
,,,,,
"9
PARTAI PERSATUAN PEMBANGUNAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,H.M. DAWAM KARSAHUTAMA,L,BANTUL
2,,,"M. DARBAN ARIEF, S.E.",L,GUNUNGKIDUL
3,,,SRI WULANDARI,P,BANTUL
4,,,Drs. SUTARNO,L,GUNUNGKIDUL
5,,,WIGIT PRIANTA,L,GUNUNGKIDUL
6,,,RIRIN PURWANINGSIH,P,GUNUNGKIDUL
7,,,NURRISTI SUMBAWATI,P,GUNUNGKIDUL
8,,,SURADAL,L,GUNUNGKIDUL
9,,,"SITI YULIATI, S.Sos.",P,GUNUNGKIDUL
10,,,"Drs. H. MOHAMMAD ADNAN, M.M.",L,BANTUL
11,,,"BAMBANG HARYANA HS, S.IP.",L,MAGELANG
JUMLAH LAKI-LAKI: 7 JUMLAH PEREMPUAN: 4 PROSENTASE PEREMPUAN: 36.4%,,,,,
"10
PARTAI HATI NURANI RAKYAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"H.M. SUPAR SARWO PUTRO, S.H., M.M.",L,KOTA YOGYAKARTA
2,,,"AGUS SURYANTO HADI, S.H.",L,GUNUNGKIDUL
3,,,ETIK RAHMAWATI,P,GUNUNGKIDUL
4,,,"ANISHA YUNIAR KUSUMAWATI, S.H.",P,BANTUL
5,,,"Kol. Tek. (Purn.) SUBARDJO, S.E.",L,BANTUL
6,,,PARTINI,P,GUNUNGKIDUL
7,,,SARGIYANTO,L,BANTUL
,,,,,
,,,,,
,,,,,
,,,,,
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"14
PARTAI BULAN BINTANG
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"HENGKI KARDONO, S.T.",L,BEKASI
2,,,YUNARYATI,P,GUNUNGKIDUL
3,,,Drs. EDI IRIYANTO,L,GUNUNGKIDUL
4,,,SETIA WULANDARI YATNI,P,GUNUNGKIDUL
5,,,ACHMAD ZAINURI,L,GUNUNGKIDUL
6,,,SRI MURTININGSIH,P,GUNUNGKIDUL
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
JUMLAH LAKI-LAKI: 3 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 50%,,,,,
"15
PARTAI KEADILAN DAN PERSATUAN INDONESIA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"MOHAMMAD TIMOR RUMADIJARTO, S.H.",L,SLEMAN
2,,,MUSLIHAH,P,KOTA YOGYAKARTA
3,,,R. NURCAHYO,L,GUNUNG KIDUL
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"JUMLAH LAKI-LAKI: 2 JUMLAH PEREMPUAN: 1 PROSENTASE PEREMPUAN: 33,3%",,,,,
