,,,,,
DAFTAR CALON TETAP,,,,,
ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA PEMILIHAN UMUM TAHUN 2014,,,,,
PROVINSI : D.I. YOGYAKARTA,,,,,
DAERAH PEMILIHAN : D.I. YOGYAKARTA 1,,,,,
MODEL BD 1,,,,,
"1
PARTAI NASDEM
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,Drs. GUNAWAN,L,BANTUL
2,,,Dra. ENI RATIH DEWANTI,P,KOTA YOGYAKARTA
3,,,"ASTUTININGSIH, S.H.",P,KOTA YOGYAKARTA
4,,,YUDI IRAWANTO,L,KOTA YOGYAKARTA
5,,,RUDHI WURYANTORO,L,KOTA YOGYAKARTA
6,,,"YOGI EKO SETYAWAN,
S.Farm., Apt.",L,KOTA YOGYAKARTA
,,,,,
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"14
PARTAI BULAN BINTANG
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,HARRY YUSTISIANTO,L,KOTA YOGYAKARTA
2,,,"NOOR IEDA, S.E.",P,KOTA YOGYAKARTA
3,,,MASYITAH SYARIF,P,SLEMAN
,,,,,
,,,,,
,,,,,
,,,,,
"JUMLAH LAKI-LAKI: 1 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 66,7%",,,,,
"15
PARTAI KEADILAN DAN PERSATUAN INDONESIA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"YULIA MARGARET YATUHIDIKA, S.IP.",P,KOTA YOGYAKARTA
2,,,MUHAMMAD TAHER,L,KOTA YOGYAKARTA
3,,,"BAMBANG EDY PRASETYO, S.IP.",L,KOTA YOGYAKARTA
,,,,,
,,,,,
,,,,,
,,,,,
"JUMLAH LAKI-LAKI: 2 JUMLAH PEREMPUAN: 1 PROSENTASE PEREMPUAN: 33,3%",,,,,
,,,,,
DAFTAR CALON TETAP,,,,,
ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA PEMILIHAN UMUM TAHUN 2014,,,,,
PROVINSI : D.I. YOGYAKARTA,,,,,
DAERAH PEMILIHAN : D.I. YOGYAKARTA 2,,,,,
MODEL BD 1,,,,,
"1
PARTAI NASDEM
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,Drs. SETI WIDODO,L,BANTUL
2,,,TUTIK YANUARTI,P,KOTA YOGYAKARTA
3,,,DIDA NURSAIDA,P,BANTUL
4,,,"SURADJI, S.H.",L,BANTUL
5,,,"CHRISPINA L.C WIDYASTANTRI, S.T.",P,SURAKARTA
6,,,"TEGUH HARTONO, S. Sos.",L,KOTA YOGYAKARTA
7,,,"SINGGIH MARYANTO, B.A.",L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"2
PARTAI KEBANGKITAN BANGSA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,Drs. ASLAM RIDLO,L,BANTUL
2,,,H. ABDUL HALIM MUSLIH,L,BANTUL
3,,,SRI WINDARTIK,P,BANTUL
4,,,EDY SULISTYO,L,BANTUL
5,,,ROHMANTI,P,BANTUL
6,,,ALIF MUSDALIFAH,P,BANTUL
7,,,WALJUKI,L,BANTUL
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"3
PARTAI KEADILAN SEJAHTERA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,MUH. WAJDI RAHMAN,L,BANTUL
2,,,"AGUS SUMARTONO, S.Si.",L,BANTUL
3,,,"WENING ARYANI WISNU GIYONO, S.H.",P,BANTUL
4,,,MOHAMMAD ABDILLAH,L,BANTUL
5,,,"ALFI NI'MAH MAARIF, S.Ag.",P,BANTUL
6,,,SLAMET RAHARJO,L,BANTUL
7,,,HAPPY KHOIRONI,P,BANTUL
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"4
PARTAI DEMOKRASI INDONESIA PERJUANGAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"H. YOEKE INDRA AL, S.E.",L,BANTUL
2,,,SRI WAHYU SARASWATI,P,BANTUL
3,,,"EDY SUMARMI, S.T.",P,BANTUL
4,,,"TUSTIYANI, S.H.",P,BANTUL
5,,,Ir. ANDRIE SUBIANTORO,L,KOTA YOGYAKARTA
6,,,"TRI MURYAMINI, S.IP.",P,BANTUL
7,,,YULIANTO SIGIT WIBOWO,L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 3 JUMLAH PEREMPUAN: 4 PROSENTASE PEREMPUAN: 57,1%",,,,,
"5
PARTAI GOLONGAN KARYA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"ERWIN NIZAR, S.Psi., M.Si.",L,BANTUL
2,,,Dra. Hj. MASKANAH,P,BANTUL
3,,,Drs. H. JOKO JUMENO WS,L,BANTUL
4,,,Drs. H. SUWARDI,L,BANTUL
5,,,"SUPARJANA, S.Pd., M.T.",L,BANTUL
6,,,"NAJIBAH, S.E.",P,BANTUL
7,,,"TUTI HARYATI, S.E.",P,BANTUL
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"6
PARTAI GERAKAN INDONESIA RAYA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"H. YOSERIZAL, S.H.",L,KOTA YOGYAKARTA
2,,,"MARWOTO HADI, S.H.",L,KOTA YOGYAKARTA
3,,,"Hj. ANI LISTYAWATI, S.H.",P,BANTUL
4,,,M.M. KRISTIANTI ARRY WARDHANI,P,BANTUL
5,,,"ARUM KUSUMANINGTIAS, S.E.",P,BANTUL
6,,,SUBARJA,L,BANTUL
7,,,EDHIE WIBOWO,L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"7
PARTAI DEMOKRAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"ENDANG SUKARYATI, S.Sn.",P,BANTUL
2,,,Drs. H. SUHAIMI SYUKUR,L,BANTUL
3,,,TEDDY,L,BANTUL
4,,,"JASANTA PERANGIN ANGIN, S.E., M.M.",L,BANTUL
5,,,NOOR ISMONO,L,KOTA YOGYAKARTA
6,,,SARI WIJAYANTI,P,SLEMAN
7,,,MARDIANA WATI,P,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"8
PARTAI AMANAT NASIONAL
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"SUHARWANTA, S.T.",L,BANTUL
2,,,"RUSTAM FATONI, S.Pd.",L,BANTUL
3,,,"AMIN BUDIATI, S.Pd.I.",P,BANTUL
4,,,RUSLIYANTI,P,BANTUL
5,,,"INGGIT FANDAYATI, S.S.",P,BANTUL
6,,,RIDWAN SUDIYANTO,L,BANTUL
7,,,SUHARYANI,P,BANTUL
"JUMLAH LAKI-LAKI: 3 JUMLAH PEREMPUAN: 4 PROSENTASE PEREMPUAN: 57,1%",,,,,
"9
PARTAI PERSATUAN PEMBANGUNAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"IMAM GHOZALI, S.Ag., M.A.",L,BANTUL
2,,,Drs. H. HASYIM TURMUDZI,L,KOTA YOGYAKARTA
3,,,Ir. Hj. KUNI AFFIFAH,P,KOTA YOGYAKARTA
4,,,"MARIAH, S.Ag.",P,BANTUL
5,,,TUSIMAN,L,BANTUL
6,,,AGUSTINA NISA AKMALA,P,BANTUL
7,,,DARU KAWANTARA,L,BANTUL
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"10
PARTAI HATI NURANI RAKYAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,GAZALI,L,SLEMAN
2,,,SUPRIYATI,P,BANTUL
3,,,ANDI RUDIN SITOPAN,L,BANTUL
4,,,"FITRA SARI, S.Si.",P,BANTUL
5,,,Drs. M.M. WURI HARTONO,L,KOTA YOGYAKARTA
6,,,R. TUGAS BARUNO,L,SLEMAN
,,,,,
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"14
PARTAI BULAN BINTANG
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,VIRA WIJAYA KUSUMA,L,KOTA YOGYAKARTA
2,,,FEBRIANI WAHYUSARI N,P,KOTA YOGYAKARTA
3,,,ADAT MUNTAHA,L,SLEMAN
,,,,,
,,,,,
,,,,,
,,,,,
"JUMLAH LAKI-LAKI: 2 JUMLAH PEREMPUAN: 1 PROSENTASE PEREMPUAN: 33,3%",,,,,
